0.5	412
1	304
2	263
1.5	218
4	153
3	132
5	102
6	102
1.0	97
2.5	71
0.25	69
2.3	68
10	62
1.2	62
8	59
3.5	51
7	47
0.3	41
2.8	40
0.7	40
0.75	39
0.6	37
3.6	36
1.1	36
1.7	34
2.1	34
2.0	34
100	33
0.2	33
1.6	32
9	30
6.0	29
1.4	28
1.3	27
4.1	27
0.8	26
0.4	26
2.6	25
4.5	25
3.0	24
0.9	23
11	22
5.5	22
1.8	22
4.2	22
12	21
3.2	21
5.0	20
150	20
2.4	20
3.7	20
2.2	19
1.9	18
3.9	18
3.1	18
7.5	18
6.8	17
5.7	17
3.4	17
6.9	16
2.9	16
300	16
4.3	16
2.7	15
13	15
6.6	15
4.0	15
3.8	14
4.4	14
4.7	14
50	14
3.3	14
5.3	14
17.5	14
4.9	14
7.8	13
14	13
8.6	13
500	13
4.8	13
20	12
200	12
4.6	12
6.3	12
15	12
6.7	11
7.7	11
5.2	11
6.2	11
16.5	11
7.0	10
7.2	10
6.4	10
11.5	10
11.8	10
8.5	9
7.1	9
5.8	9
5.1	9
5.6	9
8.4	9
6.5	8
18	8
17	8
9.5	8
30	7
8.0	7
8.2	7
12.5	7
10.3	7
5.4	7
25	6
13.5	6
7.6	6
9.7	6
8.3	6
19	6
20.7	6
9.4	6
8.1	6
1.75	6
1.25	6
5.9	6
7.4	6
0.1	5
25.0	5
6.1	5
40	5
0.33	5
8.8	5
28	5
11.7	5
7.3	5
9.3	4
2.25	4
12.6	4
10.4	4
9.2	4
16	4
12.1	4
10.5	4
10.0	4
17.4	4
12.7	4
400	3
24	3
26	3
12.9	3
10.8	3
8.9	3
12.3	3
19.1	3
8.7	3
22	3
7.9	3
10.2	3
9.0	3
9.9	3
17.9	3
10.9	2
27	2
15.5	2
9.6	2
19.5	2
2.75	2
12.0	2
18.3	2
1000	2
10.6	2
14.5	2
13.3	2
11.9	2
11.2	2
17.2	2
16.2	2
23	2
75	2
10.7	2
12.4	2
14.3	2
18.4	2
18.9	2
17.3	2
14.2	2
16.8	2
10.1	2
13.2	2
0.65	2
11.3	2
13.9	2
